,B2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
58,20180807-094907_712,cre,cre,emo,pro,task,log,log,other,cre,log,0,1,A3VB6VI2TU4FID,0,0,0,1,A2PZTQJUNCG4WH,0,0,31,Female,White/Caucasian,3,Married,A homemaker,10,Atheist,4,3,3,3,4,4,4,4,4,4,4,1,2,2,3,2,1,1,1,1,2,4,1,1,1,2,1,1,1,24,Female,Black/African American,5,Married,Self-employed,5,Protestant (Baptist Methodist Non-denominational etc.),5,4,4,3,4,4,4,3,3,2,5,4,3,4,5,2,4,4,1,3,1,1,1,1,1,1,3,4,4,1,1,1,4,5,2,4,4,2,2,4,4,4,4,1,4,2,4,1,2,5,2,2,4,2,6,6,1,1,1,6,1,6,6,1,3,6,6,1,6,3,2,3,6,2,3,1,2,2,2,5,6,3,4,3,2,2,4,1,5,5,2,4,4,2,1,4,5,4.5,1.5,2.5,4,5,4.5,2,3.5,5,5,4.5,3,1,2.5,4,5,3,4.5,3.5,4.5,3,3.5,2,4,5.5,2.5,2.5,4.5,3,4,5.5,6,3.5,4,2.5,4.5,4,6,5,4,5.5,2.5,2.5,6,4.5,6,2,3.5,5.5,6,6,2.5,4,6,4.5,6,1.5,3.5,5,2,5,4,2.5,2.5,6,8,-6,9.5,5,14,11,12.5,7,10.5,14,15,16,12,8,16,6,14,1,3,3,1,1,1,0,2,4,0,0,0,3,0,0,1,1,1,1,1
122,20180823-023349_326,cre,cre,emo,task,log,log,cre,log,log,log,0,1,A15SL0SEPN61TD,0,0.2,1,1,APZDO5ZO0EEL6,0.2,1,21,Male,White/Caucasian,3,Other,Employed for wages,3,Roman Catholic,3,5,4,4,4,4,5,3,4,3,4,4,3,3,4,3,2,4,2,3,1,4,4,5,4,2,5,4,2,29,Male,White/Caucasian,4,Other,Employed for wages,4,Other,4,3,1,4,1,3,3,3,1,1,3,2,2,2,2,2,2,4,3,2,4,2,2,2,2,2,2,2,3,4,4,3,2,2,4,4,4,3,4,4,4,4,2,4,4,2,2,2,2,3,4,3,3,3,5,5,4,3,3,3,4,5,5,5,5,4,4,4,5,5,4,5,5,5,4,4,5,5,5,5,5,4,4,3,4,3,3,2,4,4,3,4,4,3,4,2,2,2,2,2,4,4,4,2,2,3,4,4,3,4,3,3,4,3,3,3,3,3,4,2,4,4,2,3,4,4,2,4,4,3,5,4,5,4,5,4,2,4,3,4,3,4,5,3,3,5,5,4,4,4,4,4,4,2,2,2,4,4,4,3,3,5,8,7,2,4,10,10,11,6,4,16,9,15,8,14,8,14,13,1,3,5,0,1,1,0,5,0,0,0,0,2,0,0,3,1,1,1,1
149,20180824-123012_292,cre,emo,other,other,log,emo,emo,emo,emo,log,0,1,AMYURTQIMAC8T,0,0,0,1,A207TJIPWDJAQZ,0.8,1,31,Female,White/Caucasian,5,Living with partner,Employed for wages,3,Atheist,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,44,Male,White/Caucasian,6,Married,Employed for wages,9,Protestant (Baptist Methodist Non-denominational etc.),3,4,3,3,3,3,3,3,3,3,5,4,3,3,4,4,4,2,2,3,1,2,1,1,1,1,3,3,3,4,4,3.714285714,3.714285714,3.571428571,3.714285714,4,4,3.857142857,3.714285714,3.571428571,3.857142857,3.857142857,3.714285714,3.857142857,3.857142857,3.857142857,3.857142857,4,4,3.857142857,3.714285714,3.857142857,4,4,4.857142857,4.571428571,4.571428571,4.428571429,4.714285714,4.714285714,4.857142857,5,4.714285714,4.857142857,4.714285714,4.571428571,4,4.428571429,4.571428571,4.714285714,4.285714286,4.428571429,4.285714286,4.428571429,4.428571429,4.857142857,4.857142857,2.714285714,2.857142857,2.714285714,2.142857143,2.571428571,2.857142857,2.714285714,2.571428571,2.857142857,2.428571429,2,2.285714286,2.142857143,2.142857143,3.714285714,3.571428571,3.571428571,3.714285714,2.25,2.25,2.5,2.5,2.5,2.25,3.5,3.75,2.5,2.25,2.5,3,3,4,2.75,2,3.25,4,4,4,4.75,4,3,4,2.75,5,4.5,2,2,2.75,4.5,1.75,5,5.25,1.5,5,5,5.25,3,5.25,5.5,1.75,1.75,1.75,2,3,2,5.75,4.5,4.25,4.5,3.5,3.5,3,3.5,3.25,3.5,3.25,1.5,3,3.5,2.25,4,4,3,3,4.142857143,4.75,4.428571429,2,11.85714286,13.25,11.42857143,13,3.714285714,1.75,16,12,16,12,16,14,20,15,5,1,2,0,0,2,0,4,1,1,0,0,1,0,0,3,4,3,2,1
382,20180828-160644_703,cre,other,cre,other,cre,cre,cre,cre,cre,other,0,1,A398DYVL7GCCYU,0,0.5,1,1,AZMMJFMLYXZ2D,0.3,1,31,Female,Hispanic/Latino,5,Living with partner,A student,2,Agnostic,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,2,4,1,1,2,4,4,1,3,4,3,39,Female,White/Caucasian,4,Married,A homemaker,6,Protestant (Baptist Methodist Non-denominational etc.),4,4,5,5,5,5,5,5,5,5,4,4,4,5,4,1,1,1,1,4,1,2,4,4,5,1,5,5,5,2,2,1,5,5,4,5,4,3,1,4,5,5,1,3,3,4,4,4,4,4,4,4,5,4,4,4,2,5,4,5,4,5,5,1,4,5,4,4,5,6,2,3,5,3,5,2,5,5,2,5,6,4,2,2,5,5,6,2,3,4,3,5,5,2,3,4,4,2,2,4,4.5,5,5,3,1,3.5,4,3,2,1.5,5,1.5,1.5,1.5,1.5,3,4,2.5,3.5,2.5,5,5,2,3,4,6,3,6,6,4.5,3,5.5,4.5,5,6,5,3,2.5,5,3,3.5,5,5,3,4.5,6,6,2,2,4,3.5,3.5,5.5,2,3,3.5,4.5,4,4,5,3,9,10.5,-5,4,13,1,13,10.5,10,7,16,20,16,20,16,17,12,8,0,7,0,0,0,3,0,6,1,0,0,0,2,0,0,1,1,1,1,1
480,20180829-074215_511,cre,cre,task,emo,emo,log,log,emo,other,log,0,1,A2Q7BWWDXGQJQR,0,0,0,1,A38TZK07ON180S,0,0,34,Male,White/Caucasian,4,Married,Employed for wages,9,Agnostic,2,2,2,2,2,2,1,1,2,2,3,2,3,3,2,4,3,3,2,3,2,1,3,1,1,1,3,3,4,38,Male,White/Caucasian,4,Never been married,Employed for wages,6,Agnostic,5,3,3,2,2,2,2,3,2,2,4,2,2,2,2,4,4,4,3,2,2,1,1,1,1,1,1,1,1,4,4,4,3,4,3,4,4,2,2,2,4,4,2,2,4,2,2,2,2,3,4,3,3,2,4,4,3,4,4,4,4,5,4,2,4,4,5,4,5,5,5,2,2,3,5,3,5,4,4,5,4,2,2,3,4,4,5,2,4,4,4,4,4,4,2,1,1,1,5,5,3.166666667,4.166666667,3.5,2.833333333,2,2.666666667,1.666666667,1.833333333,4.333333333,2,5,1,1,1,1,2.5,4.833333333,2.5,2.833333333,1.666666667,4,5.5,1,1,1,3.833333333,1,6,6,1,3.166666667,6,6,1,6,6,3.166666667,1,4,3.5,1,4.333333333,4.666666667,1.166666667,1,4.5,6,5.666666667,2.5,2.333333333,1,1,2.5,3.166666667,2,4,4,4,4,2.333333333,2.333333333,7,6,5,-7,4,-1,11,11,6,-0.166666667,8,9,6,9,10,8,15,17,3,2,3,0,1,1,0,0,1,1,0,0,4,0,0,4,1,1,4,1
551,20180830-184045_958,cre,emo,other,emo,other,other,other,log,log,log,0,1,A1M3PLZBB92ZTP,0,0,0,1,AL4LWIL87SJ0R,2,1,56,Female,White/Caucasian,4,Never been married,Self-employed,1,Protestant (Baptist Methodist Non-denominational etc.),2,4,3,3,3,3,4,4,3,3,4,3,3,2,4,2,2,2,3,4,1,1,2,1,3,1,4,4,4,41,Female,White/Caucasian,3,Married,Employed for wages,9,Atheist,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,2,4,4,4,4,2,2,4,4,3,2,2,4,2,2,2,2,4,3.5,3,4.5,2,5,5,3,4.5,4.5,5,3.5,5,5.5,5,4.5,5,5,4,5.5,4,3,4,2.5,4,4,4.5,4,3.5,3,4.5,3.5,4.5,3.5,3.5,4,3.5,4,2,4,4.5,2.5,4,4,2.5,3,4,4,2,2,2,5,5,5,1,1,5,5,5,1,1,2,4,4,2,2,5,5,5,5,2,6,6,6,6,3,6,3,6,6,1,3,6,6,6,6,6,4,6,4,3,6,2,3,5,5,6,5,4,4,4,4,3,4,2,4,5,3,4,5,4,2,8,13,5,6,4,10,13,18,7,13,12,16,14,16,12,15,13,5,2,1,3,0,0,4,0,4,1,0,0,1,2,1,0,1,1,1,1,1
556,20180830-191022_810,cre,cre,emo,emo,cre,other,emo,emo,emo,emo,0,1,A3A4ZU8D2RP6XK,0,0,0,1,A1PVWZ8ZYJHCOJ,0,0,18,Male,White/Caucasian,2,Never been married,A student,3,Agnostic,3,2,5,5,4,4,3,2,4,5,5,1,4,4,2,2,1,1,1,1,2,3,2,3,5,3,3,4,4,76,Male,White/Caucasian,6,Divorced,Retired,2,Roman Catholic,5,1,1,3,1,1,1,1,1,1,3,1,1,1,1,5,5,5,5,1,3,1,1,1,1,1,1,1,1,5,4.75,5,1.5,1.5,5,5,5,1,2.25,2.5,1.75,3.5,5,1.75,2.75,3.5,4.25,1.75,1.25,1.5,4.75,4,3.75,3.5,5,3.75,1,1.5,1,5.25,1,5,4,1,3,5.75,3.25,1.25,5.75,3.25,1,3,1.25,2.75,4.25,1,5.25,3,1,6,4.5,5,1.25,2,6,5.25,4.25,3.5,2,3.75,3.75,4.75,4.75,2,2.25,1,1,1,5,4.733333333,3,4,4,2.2,2.066666667,2,1.933333333,2,2.866666667,4,4.066666667,1.866666667,1.8,1,1.933333333,4,4.266666667,2,4,1.933333333,6,6,1,1,1,6,1,6,6,3.733333333,6,6,6,1,4.266666667,6,1,1,6,1,1,1,6,1,1,6,6,6,5.933333333,1,1,1,1,2,3.2,3.4,2,2,2,3.866666667,3.866666667,11.75,6.733333333,11.75,-6.733333333,8,2.533333333,10.5,12.33333333,1,-0.933333333,18,6,14,4,11,4,6,21,7,3,0,0,0,1,0,1,0,0,0,0,8,0,0,1,3,1,6,5
615,20180831-185408_698,cre,cre,emo,cre,cre,other,emo,emo,emo,cre,0,1,A1TW4ZXCQC5XGK,0,0,0,1,A044283626HL8LJIENG2J,0,0,29,Male,White/Caucasian,4,Never been married,Employed for wages,4,Roman Catholic,3,4,3,4,4,4,4,5,4,4,5,2,2,2,3,3,2,2,4,2,4,2,4,3,3,5,1,1,1,21,Female,White/Caucasian,3,Living with partner,Self-employed,5,Buddhist,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,3,2,2,2,3,1,2,4,3,4,1,3,3,3,4,4,2,3,3,4.5,3.5,3.5,4,3,4,4,3.5,2.5,4,5,2.5,2.5,3,3.5,3.5,3.5,2.5,3,2.5,4.5,3.5,4.5,5.5,4.5,3,3,4,3.5,2.5,3.5,4,4.5,5,4,5,3,6,4,5.5,4.5,3.5,5,2.5,4.5,3.5,2.5,4.5,5.5,4,3.5,4,5,2,1.5,4,3.5,3.5,3.5,2,3,5,4,4,1,4,4,5,4,2,1,4,4,3,2,3,3,3,4,2,2,4,4,3,5,3,4,4,3,4,3,5,4,6,5,1,3,6,5,5,6,3,3,2,2,2,5,1,5,4,3,6,6,4,5,4,3,3,4,2,3,4,3,4,4,2,3,4.5,10,4,8,6.5,8,10,13,5,6,15,16,17,17,9,16,13,12,4,5,0,0,0,2,0,4,0,0,0,0,4,0,0,3,2,1,1,1
699,20180902-084742_394,cre,cre,cre,cre,log,emo,emo,other,task,log,0,1,A1G70F4VJOW46H,0,0.05,1,1,A1BYUDFQPW099F,0.2,1,26,Female,White/Caucasian,4,Married,Employed for wages,7,Roman Catholic,4,3,2,1,3,3,3,3,2,2,2,2,3,2,3,1,1,1,1,3,2,1,1,2,1,1,2,2,3,50,Female,White/Caucasian,4,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),2,4,2,2,2,3,3,4,3,3,4,4,3,4,4,1,1,1,1,3,1,1,2,2,2,1,2,2,2,3,2,2,4,4,2,1,2,4,4,5,4,3,1,1,3,4,5,5,5,3,2,1,1,2,4,4,5,5,3,4,2,5,5,3,4,3,4,6,6,6,6,2,4,4,3,4,5,3,2,2,1,2,5,3,3,2,4,2,4,3,1,3,4,4,3,4,4,2,3,4,4,4,2,2,2,5,4,4,2,1,4,2,3,1,3,3,4,3,4,2,2,3,3,3,3,3,3,4,4,4,2,4,4,3,6,5,2,3,1,4,5,4,5,3,3,3,3,5,2,2,2,2,5,2,3,5,4,4,4,3,2,-3,6,-1,3,16,5,5,12,10,10,9,9,10,13,10,15,7,7,2,4,2,0,1,2,1,1,1,0,0,0,5,0,0,2,1,1,1,1
747,20180903-092915_966,cre,task,emo,cre,cre,log,cre,cre,pro,log,0,1,A24UUWI8IIJKT6,0,0,0,1,AU9MOALKE8TKF,2,1,27,Male,Black/African American,6,Never been married,Employed for wages,2,Protestant (Baptist Methodist Non-denominational etc.),4,4,4,3,3,2,5,5,4,5,4,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,33,Female,White/Caucasian,5,Married,A homemaker,11,Protestant (Baptist Methodist Non-denominational etc.),3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,2,1,1,1,3,1,1,1,2,3,1,2,2,2,1,1,1,5,5,3,4,4,2,4,4,3,3,3,3,4,2,2,2,2,5,5,4,5,1,4,4,2,2,2,5,5,5,6,2,5,4,6,4,6,6,5,5,3,3,5,4,6,3,3,6,6,4,4,5,5,5,4,2,1,4,1,4,4,3,2,4,2,3,3,4,2,5,4,3,2,4,5,5,4,1,2,4,5,3,3,4,4,4,4,1,5,3,3,5,5,3,4,6,6,2,2,5,3,5,6,4,2,5,5,3,5,4,2,5,4,4,3,4,2,2,3,2,5,4,2,5,4,3,4,2,3,5,6,-7,2,4,13,18,15,4,9,12,14,19,14,8,15,11,8,1,5,2,1,1,0,0,3,2,0,0,1,3,1,0,0,1,1,1,1
