,B2,V1,V11,V2,V12,V3,V13,V4,V14,V5,V15,V6,V16,V7,V17,V8,V18,V9,V19,V10,V20,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
59,20180901-062656_249,log,disagree,other,providep,emo,providep,emo,providep,emo,providep,emo,providep,other,providep,other,offtask,other,providep,other,providep,0,1,AK7FDS2KRJZLA,0,0.05,1,1,A1QTRNM7OB6OKW,2,1,41,Male,White/Caucasian,4,Divorced,Employed for wages,5,Protestant (Baptist Methodist Non-denominational etc.),2,3,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,2,3,1,1,1,2,2,1,3,3,3,49,Female,White/Caucasian,2,Divorced,Unable to work,2,Atheist,3,3,3,1,3,2,1,5,2,2,4,3,3,3,5,1,5,5,3,1,1,1,3,5,5,1,3,1,5,4,4,4,2.2,2.4,3.6,3.8,3.8,2.2,2.6,3.6,3.6,3.8,2.4,2,3.8,3.2,2.8,2.2,2.4,3.4,3.8,3.2,3.2,2.2,4.8,4.6,4.4,4.4,4.4,4.4,3.6,4.6,4.4,4.8,4,4.6,4.4,4.2,4.6,4.2,4.4,3.2,3.2,4,4.2,3.6,4,3.4,3.6,3.4,3.4,3.4,3.4,3.4,3.4,3.2,2.8,2,2.6,2.8,2.4,4,4,4,4,4.5,4,1.5,1.5,4.5,4.5,3.5,4.5,2,2.5,5,5,5,2.5,1,4,2.5,4,3,4.5,4,4.5,2,3.5,3.5,4.5,5,6,6,5.5,5.5,5,6,5.5,4.5,4.5,5.5,6,6,6,6,5,4.5,3.5,4.5,6,4.5,6,6,4.5,4,5.5,6,5.5,3,5,4,6,1,4.5,2,1,2,2.5,5,3,6.4,8,7.4,4,6.8,10,11.4,10.5,6.6,11.5,16,9,16,10,16,14,11,15,4,0,1,0,0,5,0,0,0,1,0,0,8,0,0,1,2,1,1,1
136,20180827-044304_158,other,disagree,other,disagree,pro,disagree,other,asktask,emo,providep,other,asktask,log,agree,other,providep,other,asktask,task,offtask,0,1,AYCNF0YILY9Q,0,0,0,1,A13H5EYMWJ9GU8,0,0,25,Male,Asian/Asian American,4,Living with partner,Employed for wages,4,Agnostic,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,3,3,2,1,1,1,1,1,3,3,3,28,Male,Black/African American,4,Never been married,Self-employed,5,Protestant (Baptist Methodist Non-denominational etc.),3,3,3,3,3,3,3,3,2,2,2,4,4,4,4,2,3,3,3,3,1,1,2,2,2,1,3,3,3,4.333333333,4.333333333,3.666666667,3.333333333,3.666666667,4,4,3.333333333,2.666666667,2.333333333,3.333333333,3.333333333,3.333333333,2,2.333333333,4.333333333,3,2.333333333,2,2,4.666666667,3.666666667,3.666666667,4.666666667,2.666666667,3,3.333333333,3,3,3.333333333,3,2.666666667,3,2,1,3,5,5,4.666666667,4.666666667,4.666666667,4,3.333333333,5.333333333,4,4.333333333,2.333333333,5.333333333,2.666666667,2.333333333,4,4,4,3.666666667,3.333333333,3.333333333,3.333333333,4,2,3.333333333,3.333333333,2,3.666666667,3.666666667,3.333333333,3.333333333,3.5,3.5,2.25,2.25,4,2.25,3.25,2.75,3.5,3,3.75,2.5,3.5,2.75,3.25,4,3.25,3.75,3,3,4,3.5,2.75,4,2.75,4.75,4.75,4.5,4.5,4.75,4.75,4.25,4.5,4.25,4.25,4.75,4.75,4.5,4.25,4.5,4,4.5,4.75,4.5,4.25,4.25,4.25,4.5,2.5,2,2.75,3.5,4.25,3.25,2.25,3.5,2,2,2.25,2.5,2.75,2.5,4,4,4,4.25,6.333333333,1.75,5.333333333,3,5,9,14,11.5,5.666666667,3.75,4,12,4,10,4,16,12,14,1,0,1,1,1,6,0,3,1,3,0,0,2,0,0,1,3,3,2,1
165,20180828-162550_253,other,disagree,cre,asktask,cre,asktask,cre,asktask,cre,providep,cre,positive,cre,offtask,log,agree,log,providep,other,agree,0,1,ARFQ8FJRKCUZ6,0,0,0,1,AON59V5VZU2AK,1,1,72,Female,White/Caucasian,3,Widowed,Self-employed,4,Protestant (Baptist Methodist Non-denominational etc.),1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,1,4,1,1,4,4,4,1,3,3,4,54,Female,White/Caucasian,4,Widowed,Self-employed,5,Roman Catholic,2,5,4,4,4,4,3,5,3,4,4,4,4,4,4,1,2,2,2,4,1,1,3,3,3,1,4,4,3,5,5,1,3,5,5,5,5,1,1,4,3,3.5,2.5,1.5,4,2.5,4,1.5,2.5,3.5,4,4,4.5,2.5,5.5,5,5.5,5.5,5.5,6,4,5,5.5,4.5,4.5,6,6,6,6,5.5,2.5,5.5,3.5,3.5,6,4,4,6,6,5.5,5.5,5.5,5,2.5,5,4.5,6,1.5,4.5,5,3,5,3.5,3,2.5,5,5,3,1,4,4.5,5,5,1,1.5,5,5,5,1,1,3,2,4,1,2,4.5,5,4,4,2.5,4.5,5,5.5,4.5,6,5,3.5,6,6,5.5,3,5.5,5,6,6,4.5,5,5,4.5,3.5,6,3,5,4,3.5,5.5,4.5,5.5,5,3,2.5,4,5,1.5,3.5,5,2,4.5,5,3,2.5,13,12,3,8,6.5,6,13.5,15,6.5,13,20,16,20,15,16,16,8,11,0,6,3,0,0,2,0,3,2,1,0,0,2,2,0,1,1,1,1,1
222,20180829-051511_813,other,disagree,other,providep,other,disagree,emo,providep,emo,offtask,log,providep,emo,offtask,task,asktask,other,agree,log,providep,0,1,A2223XYV804AY7,0,0,0,1,A2O26EKDJ6ZDWK,0.15,1,47,Female,White/Caucasian,4,Divorced,Employed for wages,5,Jewish,2,4,5,4,4,4,4,4,5,5,5,4,4,4,5,2,2,2,2,4,1,1,4,5,5,1,4,4,4,25,Male,White/Caucasian,3,Never been married,Employed for wages,3,Agnostic,4,4,3,3,3,2,4,3,2,3,3,4,3,4,4,3,4,4,3,3,1,1,2,2,1,1,2,2,2,5,4.5,4.5,1,1,4.5,4.5,4,1,1,5,5,5,1,1,3,2.5,3.5,2,2,4,5,3,4,2,3.5,3.5,4,5.5,3.5,4,4.5,5.5,4,4.5,4.5,4.5,4.5,4.5,5.5,5,3.5,4.5,1.5,2,3.5,4,4.5,4.5,4.5,4.5,4,4.5,4.5,2,4.5,4,4.5,2,3.5,3,2,4,4.5,2,2.5,5,4,4,3,4,3,5,4,2,4,4,4,4,4,1,4,2,5,2,2,4,4,2,5,2,5,5,3,4,3,4,2,5,6,1,4,4,6,4,5,4,3,5,3,3,3,1,6,3,2,4,5,4,3,3,3,3,5,2,4,4,2,5,4,4,3,11,6,12,6,7,7,14,13,13,7,17,11,18,12,17,15,12,17,3,0,2,0,1,4,0,1,1,2,0,0,4,0,0,2,2,2,1,1
252,20180829-122147_798,other,disagree,other,offtask,task,providep,other,offtask,cre,positive,other,offtask,other,providep,emo,providep,emo,providep,other,offtask,0,1,A3660U735N5378,0,0,0,1,A3UAAA096DXGSP,0,0,52,Female,White/Caucasian,3,Divorced,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,1,1,1,1,1,1,1,5,5,5,1,3,2,2,25,Female,White/Caucasian,4,Never been married,Employed for wages,4,Atheist,5,5,4,3,3,4,5,5,3,4,4,4,3,4,5,1,3,2,3,3,1,1,2,2,4,2,3,2,3,5,5,4,1,3,5,5,5,1,1,5,4,5,5,1,4,3,3,2,3,3,5,4,5,3,6,6,4,5,4,6,3,6,6,3,6,5,6,4,4,4,1,1,6,1,4,1,6,6,6,1,1,1,1,3,1,6,1,1,5,5,3,4,5,4,5,4,5,4,1,2,2,2,1,4,4,4,5,5,1,1,5,1,2,1,1,4,5,4,4,1,3,5,1,2,1,5,1,6,6,1,5,3,6,3,6,4,1,1,6,1,5,2,6,4,2,2,6,6,4,3,6,4,3,1,4,5,3,4,4,2,1,13,-3,10,10,7,0,14,16,8,12,20,14,20,17,16,16,5,12,2,1,0,0,1,6,0,0,0,1,0,0,4,1,0,4,1,1,1,1
257,20180829-141125_448,other,disagree,cre,providep,emo,providep,emo,providep,other,asktask,task,offtask,emo,providep,emo,providep,cre,agree,task,agree,0,1,A2YMYHBFXY8078,0,0,0,1,A7EN3AJPPSC8V,0,0,30,Male,White/Caucasian,4,Never been married,Employed for wages,9,Other,2,4,2,3,3,3,5,4,3,4,4,4,4,3,4,3,3,3,3,3,1,2,3,3,3,2,2,2,2,27,Male,White/Caucasian,3,Never been married,Employed for wages,2,Atheist,5,1,1,3,1,2,3,3,3,3,1,4,4,4,4,1,5,5,2,2,5,1,1,1,1,1,1,1,1,4,4,3.5,2,2.5,4.5,4.5,5,2.5,2,4.5,4.5,4.5,3.5,1,3.5,3.5,4,3,3.5,4.5,4.5,3.5,4,1.5,3.5,4,4.5,4.5,5,5,4.5,5.5,5.5,2.5,5.5,5,6,5.5,6,4.5,5,4.5,4.5,4,4,3,4.5,4,4.5,4.5,4,4.5,5,5,5,4.5,4.5,2,2,2.5,2,5,5,4.5,3.5,1,1,1,5,5,1,5,1,3,1,5,4,3,4,1,3,5,5,1,3,4,4,3,4,1,5,4,1,1,1,5,1,5,5,1,5,5,5,1,5,1,1,1,1,5,3,1,5,2,2,2,5,5,2,5,5,5,5,2,3,4,4,4,4,1,1,9.5,3,7,-7,10.5,11,15,14,9,7,11,7,16,12,15,16,15,15,4,2,0,0,2,2,0,1,2,1,0,0,5,0,0,1,2,1,1,1
297,20180830-191932_932,other,disagree,cre,providep,cre,offtask,pro,providep,emo,providep,task,agree,log,agree,emo,providep,emo,providep,cre,providep,0,1,A33RUN3NEBHW3D,0,2,1,1,A1JQ0UGI4PF89R,0,0,40,Female,White/Caucasian,6,Married,Employed for wages,11,Roman Catholic,3,1,4,4,4,4,2,4,3,2,4,3,2,2,2,5,2,2,2,1,2,3,1,1,1,2,4,4,4,28,Male,White/Caucasian,3,Married,Employed for wages,5,Protestant (Baptist Methodist Non-denominational etc.),1,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,2,2,4,1,1,2,3,3,1,1,1,1,4,4,2,2,3,4,5,4,2,1,5,5,5,2,1,2,3,4,2,3,2,5,4,3,1,6,6,2,3,4,5,3,6,6,6,3,6,6,4,6,5,1,1,3,2,6,3,6,4,4,6,6,5,4,3,4,6,5,3,4,5,3,5,4,5,4,5,5,5,3,3,5,5,5,3,4,4,4,5,2,1,4,2,2,1,2,4,5,3,4,2,1,1,1,1,1,1,1,1,1,6,1,6,4,6,6,5,3,4,3,4,6,5,4,6,6,6,6,5,5,4,5,5,3,1,3,5,3,4,4,3,2,10,8,5,9,10,3,13,14,12,10,16,16,11,16,9,14,12,12,4,3,1,1,1,1,0,0,2,1,0,0,6,0,0,1,1,1,1,1
366,20180901-073405_760,other,disagree,cre,providep,pro,providep,other,asktask,cre,asktask,task,offtask,cre,askp,other,providep,pro,agree,other,providep,0,1,AASWAMYQ9PXMQ,0,0,0,1,A3IQ7EGSSQF1AA,0,0,45,Female,White/Caucasian,3,Married,A homemaker,6,Roman Catholic,2,4,3,3,3,4,4,4,3,3,4,3,4,3,3,1,1,1,1,1,1,1,2,2,1,1,3,3,3,45,Male,White/Caucasian,3,Married,Employed for wages,7,Protestant (Baptist Methodist Non-denominational etc.),1,2,2,2,2,2,3,3,3,2,2,2,2,2,4,2,4,4,2,2,2,1,1,2,1,1,4,4,4,4,4,1.333333333,3,5,4.666666667,5,5,1,1,4,5,4.333333333,1.333333333,1.333333333,2.666666667,3.333333333,3.333333333,2,2,3.333333333,3,2.666666667,3.333333333,2,4,4,4,4,4.666666667,4,4,4,4,6,5,4,3,5,6,4.666666667,2.333333333,5,4.333333333,3.666666667,4,6,3.666666667,4.333333333,5,5.333333333,3,3.333333333,1,1.333333333,3,3,5.333333333,2,3.666666667,5,4,4,4,2,2,4.666666667,4.666666667,3.333333333,2.5,3.333333333,4.5,4.5,4.5,1.666666667,2.666666667,4.5,4.5,3.833333333,1.666666667,1.5,4,2.5,2.833333333,2.166666667,2.333333333,3,3.666666667,2.5,3.333333333,2.5,5.166666667,5.166666667,4.5,4.5,4.333333333,5,4.666666667,4.833333333,5,3.5,4.5,4.333333333,5,4.833333333,5.333333333,5.333333333,3.833333333,4.833333333,1.333333333,3.833333333,4.833333333,4.166666667,5,4.333333333,4.5,4.666666667,5,4.5,4.166666667,3.166666667,4.333333333,4.333333333,4.666666667,2,2.666666667,3.5,3.333333333,4.166666667,4.166666667,2.666666667,2.5,12.66666667,9.166666667,1.333333333,6.833333333,8,5.833333333,10.33333333,10,10.66666667,9.666666667,13,8,14,11,13,10,5,14,0,3,0,2,1,5,0,2,1,1,0,1,4,0,0,1,2,1,4,3
500,20180903-141538_396,other,disagree,cre,providep,emo,providep,log,agree,log,offtask,other,offtask,log,providep,emo,providep,log,providep,other,providep,0,1,AJQGWGESKQT4Y,0,0.1,1,1,A28YLZWGRV9MQA,0,0,41,Male,Other,4,Married,Employed for wages,5,Atheist,5,3,3,4,2,3,2,2,2,3,4,3,3,4,3,3,2,2,2,2,1,1,1,1,1,1,3,3,3,22,Male,White/Caucasian,3,Never been married,A student,5,Agnostic,2,3,3,4,3,4,3,3,2,2,3,2,2,4,2,4,4,4,4,2,4,2,1,1,1,2,2,2,2,4.25,4,4,1.75,2,4,4,4,2,1.75,4,4,4,1.75,2.5,4,2,3,2,2,4,4,4,4,3,5,5,2,2.5,2.75,5,2,5,5,1,4.5,5,5,2,5,5,4,2.75,5,2.75,3.75,1.25,5,2.5,2,5.25,5.5,5,2,2,3.5,3,4,2,3.25,4,3,4,4,2,2.5,1,1,1,5,5,2,2,4,4,4,4,4,3,4,5,2,4,4,4,4,3,2,4,4,4,3,4,3,3,5,4,3,4,4,3,4,3,3,3,4,3,2,4,2,2,4,5,4,1,2,3,3,5,4,5,5,4,4,3,2,2,3,4,4,3,4,8.25,0,8.5,-7,5,14,13,9,7.75,2,12,14,9,10,13,10,11,18,2,1,4,0,0,3,0,0,1,1,0,0,6,0,0,2,2,2,1,1
614,20180828-194341_225,pro,disagree,cre,disagree,other,providep,emo,disagree,log,disagree,emo,providep,log,providep,pro,disagree,other,askp,emo,positive,0,1,ABJ8229BVK9R6,0,0.02,1,1,A4UPQPZH5KXSN,0,0,21,Female,White/Caucasian,3,Never been married,A student,1,Agnostic,4,4,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,3,3,32,Female,White/Caucasian,4,Married,A homemaker,1,Other,3,3,4,4,4,4,2,2,1,1,3,4,1,2,2,5,5,5,3,4,3,2,1,1,1,1,1,1,1,4,4,3,1,3,4,5,4,2,1,5,4,4,2,2,3,4,4,2,3,5,4,3,5,2,5,5,2,3,2,5,3,6,6,1,6,5,6,3,6,4,1,1,5,2,1,1,5,1,3,5,6,5,5,4,5,2,4,2,2,4,5,4,4,3,4,5,5,4,1,2,4,4,4,1,2,4,3,3,5,3,2,4,5,4,5,4,3,3,5,2,5,4,4,5,2,4,2,6,4,3,3,4,4,6,6,4,4,5,5,3,5,2,2,4,4,4,4,5,6,6,6,5,6,2,2,3,1,4,5,4,4,10,9,7,11,10,16,15,13,9,2,12,16,11,6,8,9,10,22,3,1,2,2,0,2,0,0,0,5,0,1,3,1,0,0,1,1,1,1
